,Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic
174,www.keyframeonline.com,0,0,/kf.php,0,http,0,2,0,0,0,1,0,0,0,0,2
175,www.voicechasers.com,0,0,/,0,http,0,0,0,0,0,0,0,0,0,0,2
176,us.imdb.com,0,0,/name/nm0304000/,0,http,0,0,0,2,0,2,0,0,0,0,0
177,www.taoslandandfilm.com,0,0,/bradentnwkly.html,0,http,0,2,0,0,0,1,0,0,0,0,2
178,us.imdb.com,0,0,/name/nm0004951/,0,http,0,0,0,2,0,2,0,0,0,0,0
179,kathygarver.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
180,us.imdb.com,0,0,/name/nm0308744/,0,http,0,0,0,2,0,2,0,0,0,0,0
181,www.dickgautier.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
182,www.dangilvezan.com,0,0,/,0,http,0,0,0,0,0,0,0,0,0,0,1
183,us.imdb.com,0,0,/name/nm0319737/,0,http,0,0,0,2,0,2,0,0,0,0,0
184,us.imdb.com,0,0,/name/nm0330015/,0,http,0,0,0,2,0,2,0,0,0,0,0
185,www.tv-now.com,0,0,/stars/gotfried.html,1,http,0,2,0,2,0,2,0,0,0,0,1
186,www.cdaccess.com,0,0,/html/pc/midmovie.htm,0,http,0,2,0,0,0,1,0,0,0,0,2
187,genetic_mishap.tripod.com,0,0,/landofthreenamedpeople/,0,http,0,0,2,0,0,0,0,0,0,0,1
188,www.angelfire.com,0,0,/celeb/starzbios/gottfried_g.html,0,http,0,2,2,0,0,0,0,0,0,0,0
189,us.imdb.com,0,0,/name/nm0331906/,0,http,0,0,0,2,0,2,0,0,0,0,0
190,www-tech.mit.edu,0,0,/v110/n37/gilber.37a.html,1,http,0,1,0,1,0,1,0,0,0,0,0
191,www-tech.mit.edu,0,0,/v110/n38/lsc.38a.html,1,http,0,1,0,1,0,1,0,0,0,0,0
192,www.octopusmediaink.com,0,0,/gilbertgottfried.html,0,http,0,2,0,0,0,1,0,0,0,0,1
193,citypaper.net,0,0,/articles/022996/article001.shtml,0,http,0,0,0,0,0,1,0,0,0,0,1
194,jam.canoe.ca,0,0,/movies/artists/g/gottfried_gilbert/1997/02/21/758674.html,0,http,0,2,1,0,0,0,0,0,0,0,0
195,www.voicechasers.com,0,0,/database/showactor.php,0,http,0,2,2,0,0,0,0,0,0,0,2
196,www.kylehebert.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,1,1
197,www.post-gazette.com,0,0,/magazine/19990223voicetalent1.asp,1,http,0,2,2,0,0,1,0,0,0,0,0
198,www.serkworks.com,0,0,/roommates/index.htm,0,http,0,2,0,0,0,1,0,0,0,0,2
199,www.armory.com,0,0,/~keeper/jesshirt.html,0,http,0,2,0,0,0,0,0,0,0,0,2
200,www.voicechasers.com,0,0,/database/showactor.php,0,http,0,2,2,0,0,0,0,0,0,0,2
201,docharris.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
202,www.lushmedia.co.uk,0,0,/,0,http,0,2,0,0,0,1,0,0,0,0,1
203,www.dav-productions.com,0,0,/,1,http,0,0,0,1,1,1,0,0,1,0,1
204,www.ccvideo.net,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
205,www.blueyed.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
206,www.koalatv.com,0,0,/,0,http,0,0,0,2,0,2,0,0,0,0,2
207,www.goaggressive.com,0,0,/,0,http,0,0,0,0,0,1,0,0,1,0,1
208,www.emblemma.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
209,www.killingtimeproductions.com,0,0,/,0,http,0,0,0,0,0,0,0,0,0,0,1
210,www.rollingrproductions.com,0,0,/,0,http,0,0,0,2,0,2,0,0,0,0,1
211,www.boutwellstudios.com,0,0,NA,0,http,0,0,0,2,0,2,0,0,0,0,1
212,www.blindruckus.com,0,0,NA,0,http,0,0,0,1,1,1,0,0,1,0,1
213,www.roadrecords.com,0,0,/clientlist.html,0,http,0,2,0,1,1,1,0,0,1,0,1
214,www.coupestudios.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,1
215,www.kellogg-rice.com,0,0,NA,1,http,0,0,0,0,0,1,0,0,0,0,1
216,www.sarley.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,1
217,www.deadlyproductions.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,1
218,www.rickaudio.com,0,0,NA,0,http,0,0,0,2,0,2,0,0,0,0,1
219,www.fmsystems.net,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,2
220,www.gamebeatinc.com,0,0,/,0,http,0,0,0,0,0,1,0,0,1,0,1
221,members.tripod.com,0,0,/kcepap/,0,http,0,0,0,0,0,0,0,0,0,0,0
222,www.loftinpro.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,2
223,www.noisefloor.com,0,0,NA,0,http,0,0,0,2,0,2,0,0,0,0,1
224,www.wavegroup.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,1
225,www.audiolinks.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
226,business.fortunecity.com,0,0,/tisch/809/gold.htm,0,http,0,2,0,0,0,1,0,0,0,0,2
227,www.harkproductions.com,0,0,/audio.html,0,http,0,2,0,0,0,1,0,0,0,0,2
228,www.loree-nelson.com,0,0,NA,1,http,0,0,0,0,0,0,0,0,0,0,1
229,www.thilldesign.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,1
230,www.cgdesign.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,1
231,www.moonaluna.net,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,1
232,www.rjbstudio.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,1
233,www.folioinc.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,1,0,1
234,www.colorpagesinc.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,2
235,www.svengoody.com,0,0,NA,0,http,0,0,0,1,1,1,0,0,1,0,1
236,www.doclivingston.com,0,0,NA,0,http,0,0,0,2,0,2,0,0,0,0,1
237,www.broadsideinteractive.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
238,www.celticharper.com,0,0,/wolfhawk.html,0,http,0,2,0,0,0,1,0,0,0,0,2
239,www.copelandesign.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,1
240,www.gilmourcreative.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,1
241,www.twentyfirst.co.uk,0,0,NA,0,http,0,2,0,0,0,1,0,0,0,1,1
242,www.blacktide.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,1
243,www.magusgraphics.com,0,0,NA,0,http,0,0,0,1,1,1,0,0,1,0,1
244,www.geocities.com,0,0,/svendesign/,0,http,0,0,0,2,0,2,0,0,0,0,2
245,www.graphicsillustrated.com,0,0,NA,0,http,0,0,0,2,0,2,0,0,0,0,1
246,sullivancreative.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,1
247,www.thincgrafx.com,0,0,/,0,http,0,0,0,1,1,1,0,0,1,1,1
248,www.rappyco.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,1
249,www.vcpresentations.com,0,0,/,0,http,0,0,0,2,0,2,0,0,0,0,1
250,www.philipperaimbault.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,1,1
251,www.jandjgraphics.com,0,0,NA,0,http,0,0,0,2,0,2,0,0,0,0,1
252,www.transmediaproject.com,0,0,/,0,http,0,0,0,2,0,2,0,0,0,1,1
253,www.informationexperts.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
254,www.pluribusmedia.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
255,www.adaptivedesign.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,1
256,www.logodesignonline.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,1
257,www.pentagonstudios.com,0,0,NA,0,http,0,0,0,2,0,2,0,0,0,0,1
258,www.cre8tivproductions.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,1,0,1
259,www.stevensonsharpe.co.uk,0,0,NA,0,http,0,2,0,0,0,1,0,0,1,0,1
260,millercreative.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,1
261,www.e-nimation.com,0,0,/,1,http,0,0,0,0,0,1,0,0,0,0,1
262,www.springdesigngroup.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,1
263,www.newsdesign.com.hk,0,0,NA,0,http,0,2,0,2,0,2,0,0,0,0,1
264,www.ronelmm.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,1
265,www.themakers.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,1
266,www.mochamedia.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,1
267,www.maksimedia.com,0,0,NA,0,http,0,0,0,0,0,0,0,0,0,0,1
268,www.lughstudio.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,2
269,www.osprey.com,0,0,NA,0,http,0,0,0,0,0,1,0,0,0,0,0
270,www.somme.no,0,0,/,0,http,0,0,0,1,0,1,0,0,0,0,1
